School,2022,2019,Change,Town,Population,Is Rural
Fort Payne Middle School,82,82,,Fort Payne,14834,
Guntersville Middle School,82,85,,Guntersville,8713,
Virgil Grissom High School,82,82,,Huntsville,216963,
Williams Elementary School,82,79,,,,
Bridgeport Middle School,82,81,,Bridgeport,2257,
Bryant School,82,88,,,,
Flat Rock School,82,87,,Flat Rock,,
Kermit Johnson School,82,81,,Pinson,7183,
Oak Grove Elementary School,82,84,,Bessemer,25615,
Waterloo High School,82,83,,Waterloo,184,
East Lawrence Elementary School,82,89,,Trinity,2542,
Clements High School,82,84,,Athens,27027,
Sparkman High School,82,81,,Harvest,,
Sparkman Middle School,82,81,,Toney,,
Hackleburg Elementary School,82,85,,Hackleburg,1430,
Robert D Sloman Primary,82,75,,Horton,,
Dunbar Creative Performing Arts,82,88,,Mobile,184952,
Carver Elementary School,82,84,,,,
Priceville High School,82,90,,Decatur,57804,
Muscle Shoals High School,82,90,,Muscle Shoals,16618,
Opelika High School,82,85,,Opelika,31538,
Opp Middle School,82,75,,Opp,6653,
Harry N Mixon Intermediate School,82,76,,Ozark,14313,
Pike Road Elementary School,82,82,,Pike Rd,,
Handley Middle School,82,76,,Roanoke,5279,
Russellville High School,82,90,,Russellville,10789,
Scottsboro Junior High School,82,86,,Scottsboro,15640,
Meadowview Elementary School,82,88,,,,
Calera Intermediate School,82,80,,Calera,17414,
Moody Middle School,82,90,,Moody,13563,
BB Comer Memorial Elementary School,82,78,,Sylacauga,12373,
Munford Elementary School,82,83,,Munford,1333,
Munford Middle School,82,81,,Munford,1333,
Thomasville Middle School,82,,,777 Gates Dr,,
Brookwood Elementary School,82,76,,Brookwood,2473,
Winfield Middle School,82,83,,Winfield,4829,
Lynn High School,82,85,,Lynn,617,
Meek Elementary School,82,89,,Arley,330,
Thompson Middle School,81,87,,Alabaster,33676,
Prattville Elementary School,81,89,,Prattville,38286,
Prattville Kindergarten School,81,89,,Prattville,38286,
Daphne Middle School,81,88,,Daphne,28777,
JB Pennington High School,81,80,,Blountsville,1827,
Susan Moore High School,81,78,,Blountsville,1827,
Weaver High School,81,78,,Weaver,3401,
Bob Harding-Shawmut Elementary,81,83,,Valley,10513,
Huguley Elementary School,81,84,,Lanett,6773,
Lafayette Lanier Elementary School,81,84,,Valley,10513,
Fleeta School,81,85,,Opp,6653,
Welti Elementary School,81,82,,Cullman,18635,
Austinville Elementary School,81,76,,Decatur,57804,
Geraldine School,81,77,,Geraldine,910,
Henagar Junior High School,81,76,,Henagar,2298,
Gaston High School,81,83,,Gadsden,33769,
Hokes Bluff Middle School,81,71,,Hokes Bluff,4435,
Rainbow Middle School,81,85,,Rainbow City,10154,
Berry High School,81,84,,Berry,1204,
Fayette Middle School,81,83,,Fayette,4185,
Chapman Elementary School,81,69,,,,
Stevenson Elementary School,81,81,,Stevenson,1960,
Stevenson Middle School,81,77,,Stevenson,1960,
Concord Elementary School,81,92,,Bessemer,25615,
Corner Middle School,81,86,,Warrior,3204,
Mortimer Jordan High School,81,89,,Kimberly,3946,
Pinson Elementary School,81,80,,,,
Hatton High School,81,80,,Town Creek,1053,
Smiths Station Junior High School,81,84,,Smiths Station,5381,
Wacoochee Elementary School,81,82,,Salem,,
Piney Chapel Elementary School,81,88,,Athens,27027,
Hazel Green High School,81,85,,Hazel Green,,
Brilliant School,81,81,,,,
Asbury Elementary School,81,71,,Albertville,22522,
Breitling Elementary School,81,79,,Grand Bay,,
Calcedeaver Elementary School,81,86,,Mt Vernon,,
Hollingers Island Elementary School,81,82,,Mobile,184952,
WP Davidson High School,81,82,,Mobile,184952,
Wilson Elementary School,81,78,,,,
Sparkman Elementary School,81,76,,Hartselle,15549,
West Morgan Elementary School,81,85,,Trinity,2542,
Joseph W Lisenby Primary School,81,75,,Ozark,14313,
Duran Junior High School,81,84,,Pell City,13248,
Iola Roberts Elementary School,81,82,,Pell City,13248,
Ridgecrest Elementary School,81,84,,,,
Reform Elementary School,81,87,,Reform,1495,
Pike County Elementary School,81,83,,Brundidge,2070,
Randolph County High School,81,78,,Wedowee,720,
Calera Elementary,81,79,,Calera,17414,
Montevallo Middle School,81,85,,Montevallo,7255,
Ashville Middle School,81,82,,Ashville,2347,
Nichols-Lawson Middle School,81,83,,Sylacauga,12373,
Childersburg Middle School,81,78,,Childersburg,4689,
Talladega County Central High,81,77,,Talladega,15621,
Duncanville Middle School,81,85,,Duncanville,,
Deshler Middle School,81,84,,Tuscumbia,9068,
Addison High School,81,85,,Addison,668,
Marbury Middle School,80,81,,Marbury,,
Elsanor School,80,87,,Robertsdale,6916,
White Plains Middle School,80,94,,Anniston,21157,
Thorsby High School,80,77,,Thorsby,2093,
Lyeffion Junior High School,80,74,,Evergreen,3370,
Luverne High School,80,84,,Luverne,2680,
West Point High School,80,87,,,,
Austin Junior High School,80,86,,Decatur,57804,
Ider School,80,87,,Ider,739,
Heard Elementary School,80,96,,Dothan,71175,
Enterprise High School,80,85,,Enterprise,29395,
Pinedale Elementary School,80,91,,Enterprise,29395,
Fort Payne High School,80,84,,Fort Payne,14834,
Belgreen High School,80,84,,Russellville,10789,
Sansom Middle School,80,82,,Gadsden,33769,
Academy For Science & Foreign Language Middle School,80,,,Huntsville,216963,
Williams Middle School,80,74,,,,
Bragg Middle School,80,83,,Gardendale,16444,
Bryant Park Elementary,80,,,Birmingham,197575,
Clay Elementary School,80,82,,Clay,10311,
Lipscomb Elementary School,80,73,,Bessemer,25615,
McCalla Elementary School,80,86,,Bessemer,25615,
North Jefferson Middle School,80,80,,Kimberly,3946,
West Limestone High School,80,86,,Lester,112,
Douglas High School,80,77,,Douglas,761,
Kate D Smith DAR Elementary School,80,90,,Grant,1040,
J U Blacksher School,80,83,,Uriah,,
Pelham High School,80,88,,Pelham,24688,
Wadley High School,80,80,,Wadley,597,
Scottsboro High School,80,83,,Scottsboro,15640,
Columbiana Middle School,80,84,,Columbiana,4263,
Elvin Hill Elementary School,80,83,,Columbiana,4263,
BB Comer Memorial High School,80,72,,Sylacauga,12373,
Dadeville Elementary School,80,74,,Dadeville,2998,
Englewood Elementary School,80,87,,Tuscaloosa,100618,
Northside Middle School,80,87,,Northport,31009,
Taylorville Primary School,80,87,,Tuscaloosa,100618,
Westwood Elementary School,80,92,,Coker,888,
Leroy High School,80,83,,Leroy,,
Meek High School,80,84,,Arley,330,
Andalusia Junior High,79,87,,Andalusia,8715,
Athens High School,79,87,,Athens,27027,
Foley Elementary School,79,82,,Foley,22063,
Magnolia School,79,80,,Foley,22063,
Robertsdale High School,79,79,,Robertsdale,6916,
Swift Elementary School,79,93,,Bon Secour,,
TR Miller High School,79,86,,Brewton,5261,
Greenville Elementary School,79,71,,Greenville,7263,
Maplesville High School,79,74,,Maplesville,641,
Southern Choctaw High School,79,72,,Gilbertown,727,
Cleburne County Middle School,79,81,,Heflin,3400,
Florala High School,79,83,,Florala,1906,
WS Harlan Elementary School,79,87,,Florala,1906,
Good Hope Elementary School,79,90,,Cullman,18635,
Good Hope Primary School,79,90,,Cullman,18635,
Hanceville Elementary School,79,87,,Hanceville,3215,
Harmony School,79,79,,Logan,,
JE Terry Elementary School,79,87,,Plantersville,,
Austin High School,79,78,,Decatur,57804,
Collinsville High School,79,79,,Collinsville,2029,
Kelly Springs Elementary School,79,82,,Dothan,71175,
Selma Street Elementary School,79,79,,Dothan,71175,
Millbrook Middle School,79,87,,Millbrook,17217,
Coppinville School,79,87,,Enterprise,29395,
West End Elementary School,79,76,,Altoona,951,
Eufaula Elementary School,79,73,,Eufaula,12675,
Eufaula Primary School,79,73,,Eufaula,12675,
Fayette Elementary School,79,76,,Fayette,4185,
East Franklin Junior High School,79,76,,Phil Campbell,988,
Gadsden Middle School,79,82,,Gadsden,33769,
Walnut Park Elementary School,79,76,,Gadsden,33769,
Headland High School,79,87,,Headland,5145,
Academy For Academics & Arts Elementary School,79,79,,Huntsville,216963,
Roger B Chaffee Elementary School,79,86,,Huntsville,216963,
North Jackson High School,79,78,,Stevenson,1960,
Brookville Elementary School,79,79,,Graysville,1915,
Hueytown Intermediate School,79,78,,,,
Shades Valley High School,79,87,,Irondale,13518,
Lamar County High-Intermediate,79,83,,Vernon,1874,
R A Hubbard High School,79,83,,North Courtland,484,
Leeds High School,79,88,,Leeds,12271,
Elkmont High School,79,83,,Elkmont,429,
Hackleburg High School,79,85,,Hackleburg,1430,
McDavid-Jones Elementary School,79,82,,Citronelle,3924,
Danville High School,79,82,,Danville,,
Falkville High School,79,79,,Falkville,1147,
West Morgan Middle School,79,80,,Trinity,2542,
Jeter Primary School,79,88,,Opelika,31538,
Morris Avenue Intermediate School,79,88,,Opelika,31538,
Opelika Middle School,79,81,,Opelika,31538,
Eden Elementary School,79,80,,Pell City,13248,
Russellville Middle School,79,81,,Russellville,10789,
Moody Junior High School,79,87,,Moody,13563,
Sylacauga High School,79,84,,Sylacauga,12373,
Charles R Drew Middle School,79,83,,,,
Dadeville High School,79,84,,Dadeville,2998,
Carbon Hill Elementary-Junior High School,79,82,,Carbon Hill,1727,
Winston County High School,79,72,,Double Springs,1076,
Etowah Middle School,78,82,,Attalla,5839,
Alexandria Middle School,78,80,,Alexandria,,
Saks Middle School,78,76,,Anniston,21157,
Wellborn High School,78,74,,Anniston,21157,
Chickasaw City Elementary School,78,69,,,,
Verbena High School,78,79,,Verbena,,
Southern Choctaw Elementary School,78,70,,Gilbertown,727,
Genesis Innovative School,78,71,,,,
Thurgood Marshall Middle School,78,81,,Evergreen,3370,
Central High School,78,72,,,,
A M Windham Elementary School,78,78,,Daleville,4862,
Woodmeade Elementary School,78,82,,Decatur,57804,
Ruhuma Junior High School,78,73,,Fort Payne,14834,
Demopolis High School,78,81,,Demopolis,7009,
EDGE Virtual School,78,,,,,
Rachel Patterson Elementary School,78,70,,Atmore,8542,
Florence Middle School,78,86,,Florence,39933,
Harlan Elementary School,78,86,,Florence,39933,
Phil Campbell High School,78,74,,Phil Campbell,988,
Guntersville High School,78,89,,Guntersville,8713,
Abbeville High School,78,74,,Abbeville,2379,
Morris Elementary School,78,76,,,,
Jasper High School,78,82,,Jasper,14354,
Jasper Junior High School,78,88,,Jasper,14354,
Corner High School,78,88,,Dora,2290,
Fultondale Elementary School,78,83,,Fultondale,9789,
Hueytown Primary School,78,75,,Hueytown,16531,
Speake,78,69,,Danville,,
Sanford Middle School,78,80,,Opelika,31538,
Kate Duncan Smith DAR Middle,78,85,,Grant,1040,
Baker High School,78,86,,Mobile,184952,
Dixon Elementary School,78,79,,Irvington,,
Dr. Robert W. Gilliard Elementary,78,80,,Mobile,184952,
Lott Middle School,78,75,,Citronelle,3924,
Saint Elmo Elementary School,78,80,,Irvington,,
WD Robbins Elementary School,78,86,,Mobile,184952,
Monroe Intermediate School,78,83,,Alabama 36751,,
Monroeville Elementary School,78,73,,Monroeville,5841,
Halcyon Elementary School,78,86,,Montgomery,198665,
Danville Middle School,78,82,,Danville,,
D A Smith Middle School,78,84,,Ozark,14313,
Duran South,78,85,,Pell City,13248,
Goshen High School,78,82,,Goshen,270,
Wedowee Middle School,78,80,,Wedowee,720,
Woodland Elementary School,78,77,,,,
Handley High School,78,86,,Roanoke,5279,
Russell County Middle School,78,82,,Seale,,
L E Willson Elementary School,78,77,,Sheffield,9337,
WA Threadgill Primary School,78,78,,Sheffield,9337,
Shelby County High School,78,78,,Columbiana,4263,
Moody High School,78,85,,Moody,13563,
Southside Middle School,78,78,,Tallassee,4808,
Buhl Elementary School,78,90,,Buhl,,
Flatwoods Elementary School,78,73,,Northport,31009,
Parrish Elementary/Middle School,78,88,,Parrish,980,
Double Springs Middle School,78,80,,Double Springs,1076,
Albertville Elementary School,77,86,,,,
Albertville Primary School,77,85,,,,
Athens Middle School,77,80,,Athens,27027,
Billingsley High School,77,79,,Billingsley,126,
Florence B Mathis Elementary,77,79,,Foley,22063,
Boaz High School,77,77,,Boaz,10161,
WO Parmer Elementary School,77,71,,Greenville,7263,
Fairfax Elementary School,77,81,,Valley,10513,
W F Burns Middle School,77,78,,Valley,10513,
Clanton Middle School,77,78,,Clanton,8762,
Jemison Intermediate School,77,83,,Jemison,2650,
Colbert County High School,77,76,,Leighton,662,
Evergreen Elementary School,77,69,,Evergreen,3370,
Vinemont High School,77,85,,Vinemont,,
South Dale Middle School,77,87,,Pinckard,587,
Valley Grande Elementary School,77,84,,Valley Grande,4079,
Wetumpka Middle School,77,83,,Wetumpka,7190,
Huxford Elementary School,77,79,,Atmore,8542,
Highland Elementary School,77,84,,,,
Weeden Elementary School,77,86,,Florence,39933,
Samson Elementary School,77,86,,Samson,1860,
Samson Middle School,77,80,,Samson,1860,
Slocomb High School,77,75,,Slocomb,2094,
Hale County Middle School,77,76,,Moundville,3072,
Adamsville Elementary School,77,75,,Adamsville,4294,
Moulton Middle School,77,83,,Moulton,3358,
Loachapoka Elementary School,77,68,,Loachapoka,161,
Tanner High School,77,75,,Athens,27027,
Phillips Elementary School,77,88,,Bear Creek,1043,
Douglas Middle School,77,82,,Douglas,761,
Bernice J Causey Middle School,77,82,,Mobile,184952,
Orchard Elementary School,77,84,,Mobile,184952,
Peter F Alba Middle School,77,79,,Bayou La Batre,2182,
Wilmer Elementary School,77,77,,Wilmer,,
Calera High,77,81,,Calera,17414,
Calera Middle,77,83,,Montevallo,7255,
Vincent Middle High School,77,83,,Vincent,1997,
Munford High School,77,77,,Munford,1333,
Stemley Road Elementary School,77,72,,Talladega,15621,
Thomasville High School,77,77,,Thomasville,3548,
University Place Elementary School,77,79,,,,
Cottondale Elementary School,77,78,,Cottondale,,
Hillcrest High School,77,86,,Tuscaloosa,100618,
Hillcrest Middle School,77,80,,Tuscaloosa,100618,
Tuscaloosa County High School,77,78,,Northport,31009,
Vance Elementary School,77,83,,Vance,2145,
Bay Minette Middle School,76,73,,Bay Minette,7894,
Elberta High School,76,89,,Elberta,2015,
Georgiana School ,76,79,,Georgiana,1315,
Hatton Elementary School,76,78,,,,
Demopolis Middle School,76,71,,Demopolis,7009,
Sardis Middle School,76,80,,Boaz,10161,
Florence Freshman Center,76,85,,Florence,39933,
Tharptown High School,76,70,,Russellville,10789,
Eutaw Primary School,76,85,,Eutaw,2859,
Lee High School,76,72,,,,
Elkmont Elementary School,76,81,,Elkmont,429,
Calhoun High School,76,68,,Letohatchee,,
Notasulga High School,76,76,,Notasulga,916,
Hamilton High School,76,83,,Hamilton,6991,
Brindlee Mountain High School,76,80,,Guntersville,8713,
Citronelle High School,76,71,,Citronelle,3924,
Mary G Montgomery High School,76,83,,Semmes,5209,
Williams Intermediate School,76,80,,Pell City,13248,
Goshen Elementary School,76,71,,Goshen,270,
Russell County High School,76,82,,,,
Ragland High School,76,82,,Ragland,1707,
Childersburg Elementary School,76,83,,Childersburg,4689,
Echols Middle School,76,82,,Northport,31009,
Sipsey Valley Middle School,76,84,,Buhl,,
Sumiton Elementary School,76,80,,Sumiton,2422,
Sumiton Middle School,76,81,,Sumiton,2422,
Albertville Kindergarten and Pre-K,75,85,,Albertville,22522,
Alexander City Middle School,75,81,,Alexander City,14618,
Cobb Preparatory Academy ,75,,,Anniston,21157,
Marbury High School,75,84,,Deatsville,1730,
Prattville High School,75,82,,Prattville,38286,
Summerdale School,75,79,,Summerdale,1543,
Bibb County High School,75,81,,Centreville,2792,
West Blocton Middle School,75,77,,West Blocton,1226,
South Hampton K-8,75,73,,Birmingham,197575,
Greenville Middle School,75,68,,Greenville,7263,
Five Points Elementary School,75,86,,Five Points,118,
John P Powell Middle School,75,68,,La Fayette,2588,
Gaylesville High School,75,80,,Rolesville,,
Leighton Elementary School,75,73,,Leighton,662,
Holly Pond High School,75,80,,Holly Pond,857,
Alabama Virtual Academy at Eufaula City Schools,75,65,,Eufaula,12675,
Eufaula High School,75,75,,Eufaula,12675,
Florence High School,75,84,,,,
Moundville Elementary School,75,87,,Moundville,3072,
Macedonia School,75,85,,Section,763,
Woodville High School,75,88,,Woodville,748,
Hueytown Middle School,75,66,,Hueytown,16531,
Beauregard Elementary School,75,86,,Opelika,31538,
Leeds Elementary School,75,81,,Leeds,12271,
Leeds Primary School,75,81,,,,
Booker T Washington High,75,75,,Tuskegee,8870,
Magic City Acceptance Academy,75,,,Homewood,26054,
Phillips High School,75,80,,Bear Creek,1043,
ER Dickson Elementary School,75,82,,Mobile,184952,
Grant Elementary School,75,79,,Prichard,19097,
Dalraida Elementary School,75,79,,Montgomery,198665,
Flowers Elementary School,75,76,,Montgomery,198665,
Vaughn Road Elementary School,75,74,,Montgomery,198665,
Albert P Brewer High School,75,79,,Somerville,799,
West Forest Intermediate School,75,81,,Opelika,31538,
Opp High School,75,79,,Opp,6653,
Carroll High School,75,76,,,,
Pike County High School,75,79,,Brundidge,2070,
The R.B.Hudson STEAM Academy,75,63,,Selma,17625,
Odenville Middle School,75,85,,Odenville,4999,
Raymond L Young Elementary School,75,78,,Talladega,15621,
Martin L King Jr Elementary School,75,67,,Tuscaloosa,100618,
Skyland Elementary School,75,73,,Tuscaloosa,100618,
Northside High School,75,80,,Northport,31009,
Sipsey Valley High School,75,77,,Buhl,,
Albertville Middle School,74,82,,Albertville,22522,
Baldwin County High School,74,72,,Bay Minette,7894,
Daphne Elementary School,74,96,,Daphne,28777,
West Blocton High School,74,80,,West Blocton,1226,
Charles A Brown Elementary School,74,67,,Birmingham,197575,
Oxmoor K-5,74,73,,Birmingham,197575,
Lafayette High School,74,66,,La Fayette,2588,
Jackson Middle School,74,84,,Jackson,4644,
Dale County High School,74,82,,Midland City,2264,
Banks-Caddell Elementary School,74,81,,Decatur,57804,
Crossville Elementary School,74,77,,Crossville,1810,
W S Neal Middle School,74,85,,East Brewton,2266,
Carlisle Elementary School,74,78,,Boaz,10161,
Glencoe High School,74,90,,Glencoe,5412,
Adams Elementary School,74,76,,Gadsden,33769,
Samson High School,74,82,,Samson,1860,
Greensboro Middle School,74,72,,Greensboro,2195,
Abbeville Elementary School,74,70,,Abbeville,2379,
Gardendale High School,74,82,,Gardendale,16444,
Beulah High School,74,79,,Valley,10513,
Loachapoka High School,74,81,,Auburn,78564,
Tanner Elementary School,74,83,,Athens,27027,
Marion County High School,74,87,,Guin,2172,
Asbury High School,74,78,,Albertville,22522,
Florence Howard Elementary School,74,71,,Mobile,184952,
Nan Gray Davis Elementary School,74,75,,Theodore,,
Olive J Dodge Elementary School,74,70,,Mobile,184952,
Crump Elementary School,74,81,,Montgomery,198665,
Morris Elementary School,74,78,,,,
Pintlala Elementary School,74,71,,Hope Hull,,
Wares Ferry Elementary School,74,77,,Montgomery,198665,
West Morgan High School,74,83,,Trinity,2542,
Carver Primary School,74,81,,Opelika,31538,
Pell City High School,74,81,,Pell City,13248,
Montevallo High School,74,75,,Montevallo,7255,
Saint Clair County High School,74,77,,Odenville,4999,
Pinecrest Elementary School,74,82,,Sylacauga,12373,
Childersburg High School,74,69,,Childersburg,4689,
Lincoln High School,74,78,,Lincoln,7082,
Tallassee High School,74,75,,Tallassee,4808,
Southview Elementary School,74,75,,Tuscaloosa,100618,
The Alberta School of Performing Arts,74,74,,Tuscaloosa,100618,
Brookwood High School,74,80,,Brookwood,2473,
Golden Springs Elementary School,73,78,,Anniston,21157,
Central Baldwin Middle School,73,83,,Loxley,4111,
Avondale Elementary School,73,66,,Birmingham,197575,
Breakthrough Charter School,73,,,Marion,3178,
Clanton Intermediate School,73,89,,Clanton,8762,
Clarke County High School,73,79,,Grove Hill,1757,
Dallas County High School,73,71,,Plantersville,,
Carver 9th Grade Academy,73,,,Dothan,71175,
Dothan High School,73,79,,Dothan,71175,
Fairfield High Preparatory School,73,72,,Fairfield,9832,
Floyd Elementary School,73,73,,,,
Greensboro Elementary School,73,70,,Greensboro,2195,
Hale County High School,73,81,,Moundville,3072,
Ashford High School,73,85,,Ashford,2247,
Huntsville Junior High School,73,75,,Huntsville,216963,
Grantswood Community School,73,76,,Irondale,13518,
McAdory Middle School,73,71,,McCalla,,
East Lawrence High School,73,80,,Trinity,2542,
Beauregard High School,73,76,,Opelika,31538,
Brindlee Mountain Elementary School,73,82,,Arab,8498,
Rutledge School,73,72,,Midfield,5115,
John Will Elementary School,73,71,,Mobile,184952,
Kate Shepard Elementary School,73,78,,Mobile,184952,
Leinkauf Elementary School,73,77,,Mobile,184952,
North Mobile County Middle School,73,77,,Axis,,
Brewbaker Intermediate School,73,67,,Montgomery,198665,
Johnson Elementary School,73,66,,,,
Oliver Elementary School,73,84,,,,
Ashville High School,73,81,,Ashville,2347,
Kinterbish Junior High School,73,73,,Cuba,306,
Indian Valley Elementary School,73,82,,Sylacauga,12373,
Woodland Forrest Elementary School,73,76,,Tuscaloosa,100618,
Matthews Elementary School,73,67,,Northport,31009,
Carbon Hill High School,73,78,,Carbon Hill,1727,
Cordova High School,73,76,,Cordova,1681,
Albertville High School,72,77,,Albertville,22522,
Etowah High School,72,77,,Attalla,5839,
Pine Grove Elementary School,72,73,,Bay Minette,7894,
Centreville Middle School,72,69,,Centreville,2792,
Randolph Elementary School,72,75,,Randolph,,
Norwood Elementary School,72,75,,Birmingham,197575,
Tuggle Elementary School,72,67,,Birmingham,197575,
Valley High School,72,73,,,,
Jemison Elementary School,72,88,,Jemison,2650,
Wilson Hall Middle School,72,74,,Grove Hill,1757,
Cherokee Elementary School,72,77,,,,
Hillcrest High School,72,68,,Tuscaloosa,100618,
Central Elementary School,72,75,,Huntsville,216963,
Pollard-McCall Junior High School,72,88,,Brewton,5261,
Sardis High School,72,80,,Boaz,10161,
Thompson Elementary School,72,79,,Gadsden,33769,
McDonnell Elementary School,72,72,,Huntsville,216963,
Fultondale High School,72,76,,Fultondale,9789,
McAdory High School,72,80,,McCalla,12965,
East Lawrence Middle School,72,76,,Trinity,2542,
Smith Station Freshman Center,72,80,,Smiths Station,5381,
Smiths Station High School,72,79,,Smiths Station,5381,
Leeds Middle School,72,83,,Leeds,12271,
Alabama Connections Academy,72,69,,Athens,27027,
Fort Deposit Elementary School,72,67,,Fort Deposit,1194,
Jackson-Steele Elementary School,72,79,,Hayneville,778,
Brindlee Mountain Primary School,72,82,,Guntersville,8713,
Grand Bay Middle School,72,78,,Grand Bay,,
Holloway Elementary,72,68,,Mobile,184952,
Theodore High School,72,73,,Theodore,,
WC Griggs Elementary School,72,84,,Mobile,184952,
Catoma Elementary School,72,78,,Montgomery,198665,
Laceys Spring Elementary School,72,85,,Laceys Spring,,
Central Freshman Academy,72,85,,Phenix City,38428,
Aliceville Elementary School,72,74,,Aliceville,2123,
Aliceville High School,72,75,,Aliceville,2123,
Sheffield Junior High School,72,85,,Sheffield,9337,
Graham Elementary School,72,68,,Talladega,15621,
Zora Ellis Junior High School,72,65,,Talladega,15621,
Arcadia Elementary School,72,77,,Tuscaloosa,100618,
Eastwood Middle School,72,77,,Cottondale,,
Paul W Bryant High School,72,75,,Cottondale,,
Crestmont Elementary School,72,83,,Northport,31009,
Deshler High School,72,80,,Tuscumbia,9068,
F S Ervin Elementary School,72,67,,Pine Hill,756,
Albertville Intermediate School,71,82,,,,
Foley High School,71,72,,Foley,22063,
Robinson Elementary School,71,69,,Birmingham,197575,
Washington K8,71,68,,Birmingham,197575,
Wellborn Elementary School,71,79,,Anniston,21157,
Jackson Intermediate School,71,79,,Jackson,4644,
Red Level School,71,86,,Red Level,431,
Elba Elementary School,71,80,,Elba,3401,
West End High School,71,78,,Walnut Grove,773,
Moorer Middle School,71,70,,Eufaula,12675,
Litchfield Middle School,71,76,,Gadsden,33769,
Columbia High School,71,75,,Huntsville,216963,
Jemison High School,71,69,,Jemison,2650,
i3 Academy Phase 2,71,,,Birmingham,197575,
Irondale Community School,71,77,,Irondale,13518,
Minor Middle School,71,65,,Adamsville,4294,
Pinson Valley High School,71,79,,Pinson,7183,
Pleasant Grove High School,71,76,,Pleasant Grove,9495,
Legacy Prep,71,,,Birmingham,197575,
Tuskegee Public Elementary,71,73,,Tuskegee,8870,
Burns Middle School,71,70,,Mobile,184952,
Erwin Craighead Elementary School,71,71,,Mobile,184952,
Indian Springs Elementary School,71,70,,Prichard,19097,
Mary W Burroughs Elementary School,71,76,,Theodore,,
Morningside Elementary School,71,69,,Mobile,184952,
Whitley Elementary School,71,73,,Prichard,19097,
Garrett Elementary School,71,76,,Montgomery,198665,
McKee Middle School,71,68,,Montgomery,198665,
Francis Marion School,71,78,,Marion,3178,
Central High School,71,85,,,,
Phenix City Elementary School,71,75,,Phenix City,38428,
Wedowee Elementary School,71,76,,Wedowee,720,
Oakman Middle School,71,76,,Oakman,762,
Camden School Of Arts & Technology,71,59,,Camden,1832,
Benjamin Russell High School,70,83,,Alexander City,14618,
Randolph Park Elementary School,70,81,,Anniston,21157,
Huffman Academy,70,61,,Birmingham,197575,
Cherokee County High School,70,78,,Centre,3528,
Chickasaw City High School,70,65,,,,
Chilton County High School,70,77,,Clanton,8762,
Choctaw County Elementary,70,72,,Butler,1870,
Central Jr High School of Clay County,70,77,,Lineville,2474,
Chestnut Grove Elementary School,70,86,,Decatur,57804,
Crossville High School,70,73,,,,
W S Neal Elementary School,70,79,,East Brewton,2266,
Donald Elementary School,70,76,,Fairfield,9832,
Gadsden City High School,70,75,,Gadsden,33769,
Martin Luther King Jr Elementary School,70,58,,,,
Montview Elementary School,70,77,,Huntsville,216963,
Providence Elementary,70,72,,Huntsville,216963,
Ridgecrest Elementary School,70,72,,,,
Clay-Chalkville Middle School,70,62,,Trussville,26388,
Erwin Middle School,70,68,,Center Point,16137,
Rudd Middle School,70,65,,Pinson,7183,
Lawrence County High School,70,75,,Moulton,3358,
Linden Elementary School,70,73,,Linden,1887,
Hayneville Middle School,70,74,,Hayneville,778,
George Washington Carver Elementary School,70,73,,Tuskegee,8870,
Murphy High School,70,76,,Mobile,184952,
Spencer-Westlawn Elementary School,70,85,,Mobile,184952,
Brewbaker Primary School,70,66,,Montgomery,198665,
Carver Senior High School,70,68,,Montgomery,198665,
SCC Virtual Preparatory Academy,70,,,,,
Oakman High School,70,75,,Oakman,762,
Anniston Middle School,69,73,,Anniston,21157,
Abrams Elementary School,69,60,,Bessemer,25615,
Brent Elementary School,69,69,,Brent,2977,
George Washington Carver High School,69,68,,Birmingham,197575,
Sun Valley Elementary School,69,67,,Birmingham,197575,
Jemison Middle School,69,72,,Jemison,2650,
Choctaw County High School,69,67,,Butler,1870,
Joe M Gillmore Elementary School,69,79,,Jackson,4644,
Daleville High School,69,77,,Daleville,4862,
Decatur Middle School,69,81,,Decatur,57804,
Oak Park Elementary School,69,79,,Decatur,57804,
West Decatur Elementary School,69,76,,Decatur,57804,
Donehoo Elementary School,69,87,,Gadsden,33769,
Clay-Chalkville High School,69,78,,Pinson,7183,
W. O. Lance Elementary,69,65,,Lanett,6773,
Central High School,69,67,,,,
Lowndes County Middle School,69,68,,Fort Deposit,1194,
Alma Bryant High School,69,77,,Irvington,,
Ben C Rain High School,69,74,,Mobile,184952,
Forest Hill Elementary School,69,69,,Mobile,184952,
Meadowlake Elementary,69,81,,Mobile,184952,
Monroe County High School,69,70,,Monroeville,5841,
Southlawn Elementary School,69,72,,Montgomery,198665,
School Of Discovery Genesis Center,69,77,,Selma,17625,
Charles Henderson Middle,69,79,,Troy,17609,
Central High School,69,74,,,,
Oakdale Elementary School,69,78,,Tuscaloosa,100618,
Collins-Riverside Middle School,69,68,,Northport,31009,
Dora High School,69,77,,Dora,2290,
Greenwood Elementary School,68,74,,,,
Huffman Middle School,68,65,,Center Point,16137,
West End Academy,68,59,,Birmingham,197575,
Bullock County High School,68,70,,Union Springs,3314,
Union Springs Elementary School,68,73,,Union Springs,3314,
Alabama Destinations Career Academy,68,,,Mobile,184952,
Jemison High School,68,73,,Jemison,2650,
Jackson High School,68,79,,Jackson,4644,
Austin Middle School,68,82,,Decatur,57804,
Elba High School,68,81,,Elba,3401,
