NAME,POPESTIMATE2021
Prichard city,19097
Providence town,166
Ragland town,1707
Rainbow City city,10154
Rainsville city,5604
Ranburne town,420
Red Bay city,3184
Red Level town,431
Reece City town,610
Reform town,1495
Rehobeth town,1821
Repton town,234
Ridgeville town,84
River Falls town,485
Riverside city,2251
Riverview town,161
Roanoke city,5279
Robertsdale city,6916
Rockford town,351
Rogersville town,1336
Rosa town,376
Russellville city,10789
Rutledge town,350
St. Florian town,658
Samson city,1860
Sand Rock town,594
Sanford town,258
Saraland city,16319
Sardis City town,1798
Satsuma city,6785
Scottsboro city,15640
Section town,763
Selma city,17625
Semmes city,5209
Sheffield city,9337
Shiloh town,323
Shorter town,380
Silas town,371
Silverhill town,1035
Sipsey town,360
Skyline town,837
Slocomb city,2094
Smiths Station city,5381
Snead town,1026
Somerville town,799
Southside city,9465
South Vinemont town,574
Spanish Fort city,10392
Springville city,4935
Steele town,1000
Stevenson city,1960
Sulligent city,1838
Sumiton city,2422
Summerdale town,1543
Susan Moore town,789
Sweet Water town,225
Sylacauga city,12373
Sylvania town,1800
Sylvan Springs town,1631
Talladega city,15621
Talladega Springs town,145
Tallassee city,4808
Tarrant city,6005
Taylor town,2268
Thomaston town,325
Thomasville city,3548
Thorsby town,2093
Town Creek town,1053
Toxey town,144
Trafford town,608
Triana town,3396
Trinity town,2542
Troy city,17609
Trussville city,26388
Tuscaloosa city,100618
Tuscumbia city,9068
Tuskegee city,8870
Twin town,361
Union town,176
Union Grove town,70
Union Springs city,3314
Uniontown town,2037
Valley city,10513
Valley Grande city,4079
Valley Head town,582
Vance town,2145
Vernon city,1874
Vestavia Hills city,38801
Vina town,325
Vincent town,1997
Vredenburgh town,223
Wadley town,597
Waldo town,253
Walnut Grove town,773
Warrior city,3204
Waterloo town,184
Waverly town,152
Weaver city,3401
Webb town,1283
Wedowee town,720
West Blocton town,1226
West Jefferson town,417
Westover town,1796
West Point town,601
Wetumpka city,7190
White Hall town,785
Wilsonville town,1873
Wilton town,592
Winfield city,4829
Woodland town,222
Woodstock town,1582
Woodville town,748
Yellow Bluff town,209
York city,2415
Autauga County,59095
Autaugaville town,792
Billingsley town,126
Millbrook city (pt.),396
Prattville city (pt.),36307
Balance of Autauga County,21474
Baldwin County,239294
Bay Minette city,7894
Daphne city,28777
Elberta town,2015
Fairhope city,23147
Foley city,22063
Gulf Shores city,15736
Loxley town,4111
Magnolia Springs town,819
Orange Beach city,8347
Perdido Beach town,562
Robertsdale city,6916
Silverhill town,1035
Spanish Fort city,10392
Summerdale town,1543
Balance of Baldwin County,105937
Barbour County,24964
Bakerhill town,207
Blue Springs town,81
Clayton town,2273
Clio city,1203
Eufaula city,12675
Louisville town,391
Balance of Barbour County,8134
Bibb County,22477
Brent city,2977
Centreville city,2792
Vance town (pt.),75
West Blocton town,1226
Woodstock town (pt.),1444
Balance of Bibb County,13963
Blount County,59041
Allgood town,545
Altoona town (pt.),41
Blountsville town,1827
Cleveland town,1243
County Line town (pt.),216
Garden City town (pt.),0
Hayden town,1332
Highland Lake town,415
Locust Fork town,1198
Nectar town,379
Oneonta city,6805
Rosa town,376
Snead town,1026
Susan Moore town,789
Trafford town (pt.),0
Balance of Blount County,42849
Bullock County,10320
Midway town,420
Union Springs city,3314
Balance of Bullock County,6586
Butler County,18884
Georgiana town,1315
Greenville city,7263
McKenzie town (pt.),492
Balance of Butler County,9814
Calhoun County,115972
Anniston city,21157
Glencoe city (pt.),18
Hobson City town,768
Jacksonville city,13057
Ohatchee town,1191
Oxford city (pt.),17824
Piedmont city (pt.),4810
Southside city (pt.),170
Weaver city,3401
Balance of Calhoun County,53576
Chambers County,34541
Cusseta town,151
Five Points town,118
La Fayette city,2588
Lanett city,6773
Valley city,10513
Waverly town (pt.),95
Balance of Chambers County,14303
Cherokee County,24996
Cedar Bluff town,1864
Centre city,3528
Collinsville town (pt.),12
Gaylesville town,172
Leesburg town,915
Piedmont city (pt.),0
Sand Rock town (pt.),563
Balance of Cherokee County,17942
Chilton County,45274
